persona,group_key,procedure_code,procedure_title,workflow_family,support_level,raw_data_available,in_full_data,in_workflow_dataset,official_membership,expanded_membership,membership_source,field,source_url,notes
citizen,dien_luc_nha_o_dat_dai,1.013410,"Cấp lại giấy phép hoạt động điện lực thuộc thẩm quyền cấp của Bộ Công Thương trong trường hợp giấy phép bị mất, bị hỏng",,raw_only,true,true,false,false,true,expanded,Điện,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-0426-7037-b5d4-25fa1d272e54,title:dien luc
citizen,dien_luc_nha_o_dat_dai,1.013417,"Cấp lại giấy phép hoạt động điện lực thuộc thẩm quyền cấp của Ủy ban nhân dân cấp tỉnh (trừ trường hợp giấy phép bị mất, bị hỏng)",,raw_only,true,true,false,false,true,expanded,Điện,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-0417-7098-adea-c165856c0b1f,title:dien luc
citizen,dien_luc_nha_o_dat_dai,1.013420,"Cấp lại giấy phép hoạt động điện lực thuộc thẩm quyền cấp của Ủy ban nhân dân cấp tỉnh trong trường hợp giấy phép bị mất, bị hỏng",,raw_only,true,true,false,false,true,expanded,Điện,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-0bbc-76f6-adf8-b2c2f3c3b692,title:dien luc
citizen,dien_luc_nha_o_dat_dai,1.115244,Cấp lại giấy phép xây dựng công trình trên đất nông nghiệp tại các vùng sản xuất nông nghiệp tập trung,,raw_only,true,true,false,false,true,expanded,Nông nghiệp,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019efced-38f5-741c-9660-8a9ea8a59adf,title:xay dung
citizen,dien_luc_nha_o_dat_dai,1.013228,"Cấp lại giấy phép xây dựng đối với công trình cấp III, cấp IV (công trình Không theo tuyến/Theo tuyến trong đô thị/Tín ngưỡng, tôn giáo/Tượng đài, tranh hoành tráng/Sửa chữa, cải tạo/Theo giai đoạn cho công trình không theo tuyến/Theo giai đoạn cho công trình theo tuyến trong đô thị/Dự án) và nhà ở riêng lẻ",,raw_only,true,true,false,false,true,expanded,Hoạt động xây dựng,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-908a-775a-833e-26b204dfda4f,field:Hoạt động xây dựng
citizen,dien_luc_nha_o_dat_dai,1.013235,"Cấp lại giấy phép xây dựng đối với công trình cấp đặc biệt, cấp I, cấp II (công trình không theo tuyến/theo tuyến trong đô thị/tín ngưỡng, tôn giáo/tượng đài, tranh hoành tráng/sửa chữa, cải tạo/theo giai đoạn cho công trình không theo tuyến/theo giai đoạn cho công trình theo tuyến trong đô thị/dự án)",,raw_only,true,true,false,false,true,expanded,Hoạt động xây dựng,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-909b-7759-a8bd-ac47f52197b7,field:Hoạt động xây dựng
citizen,dien_luc_nha_o_dat_dai,1.013237,Cấp mới chứng chỉ hành nghề hoạt động xây dựng,,raw_only,true,true,false,false,true,expanded,Hoạt động xây dựng,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-90a3-7380-bff5-eec6890fd74e,field:Hoạt động xây dựng
citizen,dien_luc_nha_o_dat_dai,1.009141,Cấp mới/cấp lại Giấy chứng nhận số nhà,,raw_only,true,true,false,false,true,expanded,Hoạt động xây dựng,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019dbd74-6433-769b-880a-b3bbe66d7694,field:Hoạt động xây dựng
citizen,dien_luc_nha_o_dat_dai,1.014413,"Cấp phép thi công nút giao đấu nối vào đường tỉnh, đường đô thị và đường khác do Sở Xây dựng quản lý",,raw_only,true,true,false,false,true,expanded,Đường bộ,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019db132-b848-7458-9fcd-f8b099d2ab06,title:xay dung
citizen,dien_luc_nha_o_dat_dai,1.009164,"Cấp phép xử lý các sự cố đột xuất về mặt kỹ thuật của các công trình ngầm như: thông tin liên lạc, cấp nước, thoát nước, cấp điện, cấp ga và các công trình liên quan khác.",,raw_only,true,true,false,false,true,expanded,Giao thông vận tải,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019dbd53-eb5c-74a9-b9d0-3cc89065f902,title:cap dien
citizen,dien_luc_nha_o_dat_dai,1.013408,"Cấp sửa đổi, bổ sung Giấy phép hoạt động điện lực thuộc thẩm quyền cấp của Bộ Công Thương",,raw_only,true,true,false,false,true,expanded,Điện,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-040f-77ed-b638-ed99175e2d05,title:dien luc
citizen,dien_luc_nha_o_dat_dai,1.013419,"Cấp sửa đổi, bổ sung giấy phép hoạt động điện lực thuộc thẩm quyền cấp của Ủy ban nhân dân cấp tỉnh",,raw_only,true,true,false,false,true,expanded,Điện,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-0bbe-74bb-953a-5f99ae2e7e02,title:dien luc
citizen,dien_luc_nha_o_dat_dai,1.013224,Cấp điều chỉnh giấy phép hoạt động xây dựng cho nhà thầu nước ngoài..,,raw_only,true,true,false,false,true,expanded,Hoạt động xây dựng,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-9094-74d9-8a37-6cd6f710a627,field:Hoạt động xây dựng
citizen,dien_luc_nha_o_dat_dai,1.013226,"Cấp điều chỉnh giấy phép xây dựng đối với công trình cấp III, cấp IV (công trình Không theo tuyến/Theo tuyến trong đô thị/Tín ngưỡng, tôn giáo/Tượng đài, tranh hoành tráng/Theo giai đoạn cho công trình không theo tuyến/Theo giai đoạn cho công trình theo tuyến trong đô thị/Dự án) và nhà ở riêng lẻ",,raw_only,true,true,false,false,true,expanded,Hoạt động xây dựng,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-9097-7135-94e7-f539d8b0cc19,field:Hoạt động xây dựng
citizen,dien_luc_nha_o_dat_dai,1.013231,"Cấp điều chỉnh giấy phép xây dựng đối với công trình cấp đặc biệt, cấp I, cấp II (công trình Không theo tuyến/Theo tuyến trong đô thị/Tín ngưỡng, tôn giáo/Tượng đài, tranh hoành tráng/Theo giai đoạn cho công trình không theo tuyến/Theo giai đoạn cho công trình theo tuyến trong đô thị/Dự án)",,raw_only,true,true,false,false,true,expanded,Hoạt động xây dựng,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-9088-744d-aa0a-eff083a455fd,field:Hoạt động xây dựng
citizen,dien_luc_nha_o_dat_dai,3.000002,Cấp điện mới từ lưới điện trung áp,,raw_only,true,true,false,false,true,expanded,Dịch vụ cung cấp điện mới,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2c00-00a2-741d-886e-003c1feda196,title:cap dien
citizen,dien_luc_nha_o_dat_dai,3.000290,Cấp điện trở lại,,raw_only,true,true,false,false,true,expanded,Dịch vụ trong quá trình thực hiện HĐMBĐ,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2c00-00b1-71a2-a9a5-1d0ac2b1567a,title:cap dien
citizen,dien_luc_nha_o_dat_dai,1.012783,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-6f3b-7238-9e41-307101b01795,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115194,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019eee28-5c99-7491-9a23-0d5278cb5eba,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115345,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f128e-9b17-720c-a69f-07a5465e118e,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115464,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f12a3-93d3-71ae-8f20-1cfb89cab2b6,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115492,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f1767-1fec-770e-836d-4ac64e018d14,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115554,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f21f1-46fe-7555-984a-43dacc14d9ae,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115613,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f56ed-5878-74aa-8d26-9d50786cde09,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115661,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f45bd-e516-71de-8223-629d40e3bd4c,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115733,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6907-41c9-70c7-aa9c-4769ab510889,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115269,Cấp đổi giấy chứng nhận đã cấp.,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019ef8e1-e6b9-7709-a689-5833e067e0ff,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.002636,"Gia hạn Giấy chứng nhận đủ điều kiện hoạt động kiểm định kỹ thuật an toàn lao động cho các tổ chức gia hạn Giấy chứng nhận đủ điều kiện hoạt động kiểm định kỹ thuật an toàn lao động cho các tổ chức thực hiện kiểm định đối với các máy, thiết bị, vật tư có yêu cầu nghiêm ngặt về an toàn lao động sử dụng trong thi công xây dựng",,raw_only,true,true,false,false,true,expanded,Kiểm định kỹ thuật an toàn lao động,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-231f-7031-a7df-d5cfc8d3cf5e,title:xay dung
citizen,dien_luc_nha_o_dat_dai,1.005058,"Gia hạn Giấy phép xây dựng, cải tạo, nâng cấp đường ngang",,raw_only,true,true,false,false,true,expanded,Đường sắt,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-51e6-75ae-9ea7-7e8e2b3c1ae5,title:xay dung
